108.007 -5.95068 -14.3862 1
110 -6 18 0
110 -6 18 1
110 -6 -14 0
109.996 -6.01191 -13.8191 1
110 -6 -14.5 0
109.995 -5.96028 -14.3253 1
112 -6 -14 0
111.964 -6.01347 -13.7075 1
112 -6 -14.5 0
111.969 -5.93292 -14.2231 1
114 -6 -13 0
113.934 -6.07057 -12.8376 1
114 -6 -13.5 0
113.949 -6.03586 -13.3001 1
114 -6 -14 0
113.977 -5.98605 -13.7781 1
114 -6 -14.5 0
114.011 -5.93538 -14.285 1
116 -6 26.5 0
115.993 -6.02239 26.5273 1
116 -6 20.5 0
116.03 -6 20.5 1
116 -6 19.5 0
116.052 -6 19.5 1
116 -6 -2 0
116 -6 -2 1
118 -6 26.5 0
117.92 -6.04507 26.6142 1
118 -6 14.5 0
118 -6 14.5 1
118 -6 14 0
118 -6 14 1
118 -6 13.5 0
118 -6 13.5 1
118 -6 6.5 0
118 -6 6.5 1
118 -6 -14.5 0
118.009 -5.99715 -14.4017 1
120 -6 28.5 0
120.065 -5.96881 28.4483 1
120 -6 28 0
119.956 -6.0153 28.055 1
120 -6 -14 0
120.007 -6.02502 -13.9135 1
120 -6 -14.5 0
120 -6 -14.4081 1
122 -6 -14.5 0
122.001 -5.98939 -14.355 1
124 -6 -14.5 0
123.992 -5.99506 -14.3143 1
126 -6 -14 0
125.974 -6.03907 -13.7079 1
126 -6 -14.5 0
125.974 -5.97389 -14.2119 1
128 -6 -14 0
128.006 -6.06131 -13.5202 1
130 -6 -14 0
130.035 -6.03598 -13.7354 1
132 -6 -14.5 0
132.051 -5.97071 -14.2601 1
132 -6 -15 0
132.043 -5.91426 -14.7619 1
134 -6 24 0
134.077 -6.02987 24.0137 1
134 -6 21 0
134.06 -6 21 1
134 -6 -15 0
134.011 -5.97287 -14.8852 1
134 -6 -15.5 0
134.009 -5.96108 -15.4439 1
136 -6 -10.5 0
136.075 -5.92752 -10.4338 1
136 -6 -14.5 0
136.018 -5.90155 -14.565 1
136 -6 -15 0
135.982 -6.02445 -14.9097 1
136 -6 -15.5 0
135.996 -5.97204 -15.4489 1
136 -6 -16.5 0
135.994 -5.84072 -16.3841 1
138 -6 -6.5 0
138 -6 -6.5 1
138 -6 -11 0
138.055 -6.04316 -11.0141 1
138 -6 -12.5 0
137.952 -5.89688 -12.4939 1
138 -6 -13.5 0
137.956 -5.73776 -13.4904 1
138 -6 -14.5 0
137.995 -5.86612 -14.5292 1
140 -6 6.5 0
140 -6 6.5 1
140 -6 -16 0
140.033 -5.83535 -15.8684 1
140 -6 -17 0
140.031 -5.7976 -16.9461 1
142 -6 16.5 0
142 -6 16.5 1
142 -6 16 0
142 -6 16 1
142 -6 5.5 0
142 -6 5.5 1
142 -6 -14.5 0
141.974 -5.98948 -14.2751 1
144 -6 -14.5 0
143.976 -6 -14.3015 1
146 -6 -14.5 0
146.029 -6.01859 -14.2769 1
148 -6 29.5 0
147.999 -5.93914 29.457 1
148 -6 29 0
148.012 -5.94748 28.9648 1
150 -6 30 0
149.99 -5.93444 29.9817 1
150 -6 29.5 0
149.98 -5.91264 29.473 1
150 -6 29 0
149.963 -5.89416 28.963 1
150 -6 -15 0
149.937 -5.90854 -15.0685 1
150 -6 -15.5 0
150.054 -6.0496 -15.4473 1
150 -6 -18 0
150.02 -5.98106 -17.9858 1
152 -6 3.5 0
151.96 -6.0286 3.58131 1
154 -6 17.5 0
154 -5.97082 17.5 1
154 -6 5 0
154.027 -6.01141 4.99374 1
154 -6 4.5 0
154.034 -6.02089 4.49174 1
154 -6 4 0
154.042 -6.03702 3.9902 1
154 -6 3.5 0
153.957 -5.94947 3.50939 1
156 -6 19 0
156 -5.84745 19 1
156 -6 18.5 0
156 -5.87458 18.5 1
156 -6 18 0
156 -5.88753 18 1
156 -6 17.5 0
156 -5.89108 17.5 1
156 -6 17 0
156 -5.89491 17 1
156 -6 10 0
156 -6 10 1
158 -6 30 0
158 -6 30 1
158 -6 20 0
158.013 -5.95848 19.9933 1
158 -6 19.5 0
158.007 -5.94925 19.4999 1
158 -6 19 0
158.002 -5.91641 19.0095 1
160 -6 12.5 0
160 -5.99829 12.5 1
160 -6 -18 0
159.988 -5.94737 -17.9674 1
162 -6 25.5 0
162.01 -5.96819 25.5832 1
162 -6 12.5 0
162.007 -5.95566 12.5129 1
162 -6 12 0
162 -5.95954 12 1
162 -6 -14 0
162.015 -6.08416 -13.85 1
162 -6 -15 0
161.949 -5.99031 -14.8059 1
164 -6 25.5 0
164.003 -5.96593 25.4828 1
164 -6 25 0
164.002 -5.98254 24.9907 1
164 -6 -10.5 0
164.12 -5.99724 -10.5342 1
164 -6 -14 0
163.981 -5.86672 -14.0414 1
164 -6 -15 0
164.007 -6.01023 -14.9126 1
166 -6 8 0
166 -6 8 1
166 -6 -15 0
